view_count;likes;dislikes;comment_count
47525572;1117651;9529;217427
6098573;165729;3310;9928
485860;5059;96;906
347568;3095;199;474
276405;1232;70;288
10126272;111021;6095;8326
501938;8185;97;793
324474;20036;345;1085
856074;9096;303;507
645319;25795;331;1326
336466;2628;150;394
18372312;241025;2577;21997
1201801;42785;2229;3821
12330385;37382;398;2022
3226934;30067;3923;909
9633548;186681;3810;6834
601573;28824;789;2749
1011291;48273;912;1249
524836;10155;361;488
1117984;67914;493;5692
107231;5748;28;499
158237;6860;1195;1113
1051181;67587;2103;2051
1140843;151994;2627;14486
835181;64322;10261;4611
1022534;37512;841;6250
264868;11895;109;626
1602823;74768;1812;2573
7249256;137956;4120;3939
628676;5115;205;318
190866;5343;421;325
180920;3379;741;1974
1729263;77383;1653;4488
317654;4453;249;503
47469042;912962;27185;52460
356167;21654;97;800
482906;23334;352;1173
1530290;19579;1151;3069
4540549;132581;1108;5764
21120011;1148553;30318;4886
1769968;16835;840;117
1037867;66373;1733;5079
2015052;57413;4926;4738
470082;15229;313;2828
155604;1330;33;324
2107904;13444;1835;155
4694328;102533;4655;13377
93942;2686;235;431
91222245;4133436;197008;13027
1354997;20073;405;2196
1152757;19265;718;924
285059;17750;612;1633
567225;15363;212;636
2211963;80432;1922;6960
5380700;294226;4992;8116
733246;7971;181;538
11234550;100343;1091;108884
813408;35809;425;3768
1042619;43318;673;1513
3285044;127328;6181;1389
1121335;20559;338;420
205968;5574;184;673
6065468;256789;5913;14102
416002;6493;481;781
794457;81260;2586;1253
2040685;40772;1617;10784
1428005;77056;624;872
3064441;113100;694;2550
293949;3737;89;241
478483;7183;124;367
295950;13012;649;2155
310942;25654;304;1315
2345837;18662;510;1939
557365;16296;168;422
1236365;44348;2259;0
149383;650;1713;1152
2643440;25365;1166;3874
18641178;872686;18277;4488
770432;16713;195;406
752104;12350;371;802
6944182;100105;9563;10036
761814;9932;214;619
2152275;9157;379;333
1391966;56965;788;3538
691451;13285;752;772
5921703;281353;4681;2425
239296;3342;97;912
408766;44168;778;1819
4662938;128342;2072;7069
1651012;27023;533;2870
281658;5133;122;308
824175;5697;569;1233
857879;105717;766;1730
797937;77562;821;235
